TAI Time at Start of Scan replicated across the swath (Time UTC+0);Geodetic Latitude (Degrees_north);Geodetic Longitude (Degrees_east);Deep Blue AOT at 0.55 micron for land with higher quality data (Quality flag=2,3) (None);Standard deviation of Deep Blue AOT at 0.55 micron for land with  all quality data (Quality flag=1,2,3) (None);Deep Blue Aerosol Confidence Flag (0= No Confidence (or fill),  1= Marginal, 2= Good, 3= Very Good) (None);Averaged topographic altitude (in km) for Land (KM)
2018-10-03T12:03:34.000000;39.511143;-7.917248;20;12;3;21
2018-10-03T12:03:35.000000;39.53432;-8.445303;23;11;3;8
2018-10-03T12:03:35.000000;39.480988;-8.204127;22;12;3;8
2018-10-03T12:03:35.000000;39.425625;-7.9565024;17;5;3;24
2018-10-03T12:03:36.000000;39.547966;-8.941093;19;10;3;11
2018-10-03T12:03:36.000000;39.499664;-8.717925;18;15;3;30
2018-10-03T12:03:36.000000;39.448044;-8.481791;21;15;3;3
2018-10-03T12:03:36.000000;39.39512;-8.242317;15;7;3;14
2018-10-03T12:03:36.000000;39.339584;-7.993719;16;5;3;20
2018-10-03T12:03:38.000000;39.462135;-8.979584;17;8;3;18
2018-10-03T12:03:38.000000;39.413338;-8.753923;18;12;3;14
2018-10-03T12:03:38.000000;39.36219;-8.519814;17;11;3;1
2018-10-03T12:03:38.000000;39.309494;-8.281223;14;6;3;16
2018-10-03T12:03:38.000000;39.253788;-8.031645;15;10;3;13
2018-10-03T12:03:39.000000;39.375694;-9.0157795;16;8;3;15
2018-10-03T12:03:39.000000;39.326965;-8.790293;18;18;3;10
2018-10-03T12:03:39.000000;39.27603;-8.557022;17;9;3;2
2018-10-03T12:03:39.000000;39.22329;-8.318027;13;6;3;13
2018-10-03T12:03:39.000000;39.16772;-8.0689125;13;8;3;11
2018-10-03T12:03:39.000000;39.109623;-7.811343;27;17;3;15
2018-10-03T12:03:41.000000;39.289608;-9.052908;18;11;3;11
2018-10-03T12:03:41.000000;39.240982;-8.827748;19;18;3;7
2018-10-03T12:03:41.000000;39.19027;-8.595329;18;12;3;4
2018-10-03T12:03:41.000000;39.137547;-8.356233;14;7;3;12
2018-10-03T12:03:41.000000;39.082146;-8.107694;12;7;3;13
2018-10-03T12:03:41.000000;39.024227;-7.8507123;22;14;3;19
2018-10-03T12:03:42.000000;39.203186;-9.089207;18;14;3;11
2018-10-03T12:03:42.000000;39.154648;-8.864309;17;13;3;7
2018-10-03T12:03:42.000000;39.103947;-8.631783;16;7;3;2
2018-10-03T12:03:42.000000;39.051376;-8.393232;15;6;3;12
2018-10-03T12:03:42.000000;38.99603;-8.14475;15;8;3;12
2018-10-03T12:03:42.000000;38.93819;-7.8879576;19;13;3;18
2018-10-03T12:03:44.000000;39.117386;-9.1276455;16;12;3;20
2018-10-03T12:03:44.000000;39.06865;-8.90165;23;24;3;5
2018-10-03T12:03:44.000000;39.018177;-8.670013;16;7;3;4
2018-10-03T12:03:44.000000;38.96543;-8.430466;16;9;3;4
2018-10-03T12:03:44.000000;38.91048;-8.183588;16;8;3;13
2018-10-03T12:03:44.000000;38.85274;-7.9270296;20;13;3;18
2018-10-03T12:03:45.000000;39.030876;-9.163422;19;16;3;18
2018-10-03T12:03:45.000000;38.982166;-8.937391;25;23;3;0
2018-10-03T12:03:45.000000;38.931896;-8.706547;17;6;3;4
2018-10-03T12:03:45.000000;38.87935;-8.467751;16;9;3;7
2018-10-03T12:03:45.000000;38.824387;-8.220635;16;9;3;12
2018-10-03T12:03:45.000000;38.766922;-7.965104;22;13;3;23
2018-10-03T12:03:47.000000;38.944817;-9.200764;22;18;3;20
2018-10-03T12:03:47.000000;38.89613;-8.97466;35;39;3;0
2018-10-03T12:03:47.000000;38.84593;-8.743959;16;7;3;3
2018-10-03T12:03:47.000000;38.793488;-8.505483;14;7;3;7
2018-10-03T12:03:47.000000;38.738785;-8.259357;18;11;3;17
2018-10-03T12:03:47.000000;38.681503;-8.004451;23;14;3;31
2018-10-03T12:03:48.000000;38.85844;-9.237075;23;18;3;22
2018-10-03T12:03:48.000000;38.75969;-8.780609;17;13;3;4
2018-10-03T12:03:48.000000;38.70738;-8.542551;17;14;3;9
2018-10-03T12:03:48.000000;38.65274;-8.296533;20;15;3;19
2018-10-03T12:03:48.000000;38.59558;-8.042007;17;15;3;33
2018-10-03T12:03:50.000000;38.772305;-9.273546;29;26;3;18
2018-10-03T12:03:50.000000;38.673805;-8.817931;19;13;3;2
2018-10-03T12:03:50.000000;38.62158;-8.580057;18;13;3;7
2018-10-03T12:03:50.000000;38.567135;-8.334725;15;9;3;20
2018-10-03T12:03:50.000000;38.509666;-8.078581;16;12;3;20
2018-10-03T12:03:50.000000;38.449318;-7.8126225;19;12;3;21
2018-10-03T12:03:51.000000;38.587532;-8.854329;21;14;3;3
2018-10-03T12:03:51.000000;38.53538;-8.616643;17;13;3;7
2018-10-03T12:03:51.000000;38.48075;-8.370298;20;14;3;11
2018-10-03T12:03:51.000000;38.423584;-8.115324;15;6;3;18
2018-10-03T12:03:51.000000;38.363663;-7.851072;15;10;3;29
2018-10-03T12:03:53.000000;38.39484;-8.407477;21;14;3;5
2018-10-03T12:03:53.000000;38.33791;-8.153358;17;12;3;17
2018-10-03T12:03:53.000000;38.277874;-7.8883944;22;15;3;21
2018-10-03T12:03:54.000000;38.30871;-8.443853;17;13;3;5
2018-10-03T12:03:54.000000;38.251648;-8.188965;22;14;3;9
2018-10-03T12:03:54.000000;38.191826;-7.9247494;28;18;3;17
2018-10-03T12:03:56.000000;38.223;-8.481911;25;19;3;7
2018-10-03T12:03:56.000000;38.16588;-8.226542;16;11;3;5
2018-10-03T12:03:56.000000;38.106274;-7.96308;31;26;3;16
2018-10-03T12:03:57.000000;38.136745;-8.518231;23;15;3;7
2018-10-03T12:03:57.000000;38.079742;-8.263234;26;20;3;7
2018-10-03T12:03:57.000000;38.020306;-8.000323;45;29;3;20
2018-10-03T12:03:59.000000;38.05138;-8.557239;34;17;3;18
2018-10-03T12:03:59.000000;37.99421;-8.301222;29;20;3;7
2018-10-03T12:03:59.000000;37.93466;-8.037603;54;27;3;13
2018-10-03T12:04:00.000000;37.96502;-8.5925865;44;16;3;11
2018-10-03T12:04:00.000000;37.90813;-8.337669;34;19;3;7
2018-10-03T12:04:00.000000;37.848846;-8.075001;59;29;3;18
2018-10-03T12:04:02.000000;37.822403;-8.375217;39;20;3;8
2018-10-20T11:08:23.000000;39.2759;-8.029005;122;60;2;15
2018-10-20T11:08:23.000000;39.258636;-7.8589845;121;43;2;20
2018-10-20T11:08:25.000000;39.18712;-8.05019;116;48;3;11
2018-10-20T11:08:26.000000;39.098034;-8.070296;85;25;3;13
2018-10-20T11:08:26.000000;39.08082;-7.901027;122;63;2;14
2018-10-20T11:08:28.000000;39.02664;-8.264608;83;31;2;6
2018-10-20T11:08:28.000000;39.00925;-8.091212;97;60;3;12
2018-10-20T11:08:28.000000;38.99198;-7.921609;98;27;3;20
2018-10-20T11:08:31.000000;38.796963;-7.798127;103;44;3;23
2018-10-20T11:08:32.000000;38.707848;-7.818206;101;58;3;29
2018-10-20T11:08:34.000000;38.653324;-8.172422;92;48;3;23
2018-10-20T11:08:34.000000;38.636066;-8.003552;114;54;3;33
2018-10-20T11:08:34.000000;38.61909;-7.839815;153;58;3;24
2018-10-20T11:08:35.000000;38.56413;-8.191872;73;39;3;31
2018-10-20T11:08:35.000000;38.547012;-8.024471;104;54;3;25
2018-10-20T11:08:35.000000;38.52999;-7.860383;150;52;2;24
2018-10-20T11:08:37.000000;38.475357;-8.2136755;119;67;2;19
2018-10-20T11:08:37.000000;38.4582;-8.046043;145;59;3;18
2018-10-20T11:08:37.000000;38.44112;-7.881554;138;51;2;24
2018-10-20T11:08:40.000000;38.31488;-8.426586;101;80;3;6
2018-10-20T11:08:41.000000;38.2432;-8.621044;78;59;3;9
2018-10-20T11:08:41.000000;38.22577;-8.446035;89;53;3;9
2018-10-20T11:08:43.000000;38.154205;-8.640086;66;51;3;23
2018-10-20T11:08:43.000000;38.136932;-8.466769;93;48;3;6
2018-10-20T11:08:43.000000;38.11965;-8.296032;133;75;2;6
2018-10-20T11:08:43.000000;38.10248;-8.128886;176;80;2;10
2018-10-20T11:08:44.000000;38.06498;-8.659602;45;27;3;23
2018-10-29T11:02:04.000000;39.487915;-7.958073;33;14;3;15
2018-10-29T11:02:05.000000;39.398743;-7.975322;32;41;3;22
2018-10-29T11:02:07.000000;39.34733;-8.43165;85;60;3;15
2018-10-29T11:02:07.000000;39.32855;-8.209669;91;61;2;19
2018-10-29T11:02:07.000000;39.309982;-7.9951534;31;23;3;18
2018-10-29T11:02:08.000000;39.202427;-7.805334;19;15;3;16
2018-10-29T11:02:10.000000;39.113613;-7.8247833;27;16;3;15
2018-10-29T11:02:11.000000;39.02445;-7.8429484;29;20;3;19
2018-10-29T11:02:12.000000;38.93562;-7.86218;40;35;3;19
2018-10-29T11:02:14.000000;38.846416;-7.880437;43;31;2;21
2018-10-29T11:02:17.000000;38.668358;-7.9171977;72;40;2;28
2018-10-29T11:02:18.000000;38.579506;-7.9364605;57;36;3;30
2018-10-29T11:02:23.000000;38.294193;-7.7935724;18;12;3;23
2018-10-29T11:02:24.000000;38.22369;-8.013241;57;47;3;13
2018-10-29T11:02:24.000000;38.20538;-7.81336;37;27;3;20
2018-10-29T11:02:26.000000;38.13457;-8.0316105;65;62;2;13
2018-10-29T11:02:26.000000;38.116318;-7.8325257;35;26;3;14
2018-10-29T11:02:27.000000;38.045723;-8.050079;46;29;3;20
2018-10-29T11:02:27.000000;38.02747;-7.8513002;45;26;3;20
2018-10-29T11:02:29.000000;37.938316;-7.870134;26;21;3;18
2018-10-29T11:02:30.000000;37.849342;-7.890006;32;21;3;13
2018-10-04T11:08:32.000000;39.52928;-8.174774;83;37;3;16
2018-10-04T11:08:32.000000;39.51189;-8.000512;98;36;2;19
2018-10-04T11:08:32.000000;39.494614;-7.830025;91;38;3;23
2018-10-04T11:08:33.000000;39.511364;-8.935215;69;32;3;16
2018-10-04T11:08:33.000000;39.440624;-8.196726;82;46;3;5
2018-10-04T11:08:33.000000;39.423153;-8.021862;73;25;3;17
2018-10-04T11:08:33.000000;39.405838;-7.851212;78;33;3;25
2018-10-04T11:08:35.000000;39.42212;-8.953489;85;35;3;23
2018-10-04T11:08:35.000000;39.351368;-8.215652;71;29;3;17
2018-10-04T11:08:35.000000;39.333984;-8.041779;81;31;3;20
2018-10-04T11:08:35.000000;39.31677;-7.8722124;84;34;3;19
2018-10-04T11:08:36.000000;39.333416;-8.974281;92;33;3;14
2018-10-04T11:08:36.000000;39.31552;-8.783018;137;34;3;11
2018-10-04T11:08:36.000000;39.29784;-8.597326;106;60;3;1
2018-10-04T11:08:36.000000;39.280087;-8.414138;89;32;3;15
2018-10-04T11:08:36.000000;39.26259;-8.236497;71;27;3;16
2018-10-04T11:08:36.000000;39.245228;-8.063026;85;38;3;17
2018-10-04T11:08:36.000000;39.227974;-7.8932204;78;42;3;20
2018-10-04T11:08:38.000000;39.244274;-8.99338;78;36;3;12
2018-10-04T11:08:38.000000;39.226425;-8.802784;87;54;3;5
2018-10-04T11:08:38.000000;39.208694;-8.616771;66;53;3;2
2018-10-04T11:08:38.000000;39.19102;-8.434523;75;28;3;8
2018-10-04T11:08:38.000000;39.173473;-8.256568;68;29;3;16
2018-10-04T11:08:38.000000;39.15618;-8.083931;76;32;3;10
2018-10-04T11:08:38.000000;39.13891;-7.914115;105;48;3;17
2018-10-04T11:08:39.000000;39.155506;-9.013521;83;38;3;10
2018-10-04T11:08:39.000000;39.137646;-8.823008;77;47;3;4
2018-10-04T11:08:39.000000;39.119896;-8.636978;63;36;3;3
2018-10-04T11:08:39.000000;39.1022;-8.454777;72;31;3;11
2018-10-04T11:08:39.000000;39.0847;-8.277491;68;28;3;13
2018-10-04T11:08:39.000000;39.067352;-8.10448;78;32;3;13
2018-10-04T11:08:39.000000;39.050148;-7.9354753;114;45;3;13
2018-10-04T11:08:40.000000;39.066338;-9.032325;84;42;3;11
2018-10-04T11:08:40.000000;39.04853;-8.8426075;63;45;3;0
2018-10-04T11:08:40.000000;39.030727;-8.656265;63;32;3;5
2018-10-04T11:08:40.000000;39.013084;-8.474693;74;23;3;9
2018-10-04T11:08:40.000000;38.99566;-8.298312;85;30;3;4
2018-10-04T11:08:40.000000;38.97828;-8.125078;78;41;3;10
2018-10-04T11:08:40.000000;38.96106;-7.9561;111;40;3;11
2018-10-04T11:08:40.000000;38.9439;-7.790122;129;50;3;22
2018-10-04T11:08:42.000000;38.995506;-9.248124;59;31;3;11
2018-10-04T11:08:42.000000;38.977425;-9.052075;97;66;3;13
2018-10-04T11:08:42.000000;38.95964;-8.8627825;77;48;3;0
2018-10-04T11:08:42.000000;38.941864;-8.676864;64;29;3;2
2018-10-04T11:08:42.000000;38.924244;-8.495715;82;36;3;3
2018-10-04T11:08:42.000000;38.906742;-8.318708;86;19;3;7
2018-10-04T11:08:42.000000;38.889378;-8.145826;84;50;3;11
2018-10-04T11:08:42.000000;38.87214;-7.9768114;114;66;3;15
2018-10-04T11:08:42.000000;38.85502;-7.811323;99;40;3;22
2018-10-04T11:08:43.000000;38.90625;-9.264792;51;44;3;28
2018-10-04T11:08:43.000000;38.88833;-9.070747;70;64;2;14
2018-10-04T11:08:43.000000;38.870564;-8.881813;71;41;3;0
2018-10-04T11:08:43.000000;38.85278;-8.696077;65;28;3;3
2018-10-04T11:08:43.000000;38.835117;-8.514735;69;23;3;10
2018-10-04T11:08:43.000000;38.817623;-8.337951;89;38;3;15
2018-10-04T11:08:43.000000;38.80028;-8.165476;92;32;3;17
2018-10-04T11:08:43.000000;38.78305;-7.9966984;111;45;3;22
2018-10-04T11:08:43.000000;38.765953;-7.831583;109;43;3;27
2018-10-04T11:08:45.000000;38.76391;-8.716182;54;31;3;5
2018-10-04T11:08:45.000000;38.7463;-8.535525;69;24;3;6
2018-10-04T11:08:45.000000;38.728783;-8.358737;104;40;3;13
2018-10-04T11:08:45.000000;38.711384;-8.185857;104;41;3;23
2018-10-04T11:08:45.000000;38.69415;-8.01717;131;47;3;30
2018-10-04T11:08:45.000000;38.677113;-7.852804;154;47;3;28
2018-10-04T11:08:46.000000;38.67478;-8.735606;51;33;3;4
2018-10-04T11:08:46.000000;38.657135;-8.554745;69;38;3;10
2018-10-04T11:08:46.000000;38.639626;-8.378215;93;43;3;17
2018-10-04T11:08:46.000000;38.622257;-8.205789;108;48;3;24
2018-10-04T11:08:46.000000;38.605;-8.037048;112;33;3;34
2018-10-04T11:08:46.000000;38.588028;-7.873434;158;66;3;25
2018-10-04T11:08:48.000000;38.585922;-8.755987;60;52;3;3
2018-10-04T11:08:48.000000;38.56829;-8.575466;83;25;3;8
2018-10-04T11:08:48.000000;38.550774;-8.399028;92;44;3;16
2018-10-04T11:08:48.000000;38.533447;-8.227169;103;36;3;19
2018-10-04T11:08:48.000000;38.51626;-8.059175;118;37;3;22
2018-10-04T11:08:48.000000;38.499214;-7.895015;173;51;3;22
2018-10-04T11:08:49.000000;38.461746;-8.4197035;117;51;3;6
2018-10-04T11:08:49.000000;38.44436;-8.247405;92;52;3;16
2018-10-04T11:08:49.000000;38.42717;-8.079603;98;38;3;20
2018-10-04T11:08:49.000000;38.41011;-7.9154243;102;33;3;23
2018-10-04T11:08:51.000000;38.372868;-8.440203;105;41;3;6
2018-10-04T11:08:51.000000;38.35554;-8.268654;124;62;3;10
2018-10-04T11:08:51.000000;38.33833;-8.100779;128;34;3;16
2018-10-04T11:08:51.000000;38.321262;-7.936651;113;50;3;21
2018-10-04T11:08:52.000000;38.283833;-8.46;85;32;3;6
2018-10-04T11:08:52.000000;38.26655;-8.289039;117;47;3;6
2018-10-04T11:08:52.000000;38.24936;-8.121513;110;43;3;10
2018-10-04T11:08:52.000000;38.23228;-7.9574547;99;54;3;18
2018-10-04T11:08:52.000000;38.215366;-7.7971854;107;55;3;20
2018-10-04T11:08:54.000000;38.21234;-8.65504;67;39;3;11
2018-10-04T11:08:54.000000;38.19494;-8.480404;100;47;3;8
2018-10-04T11:08:54.000000;38.177685;-8.309862;94;41;3;5
2018-10-04T11:08:54.000000;38.160507;-8.142609;115;66;3;8
2018-10-04T11:08:54.000000;38.143433;-7.9786887;127;60;3;16
2018-10-04T11:08:54.000000;38.126553;-7.8188634;103;59;3;15
2018-10-04T11:08:55.000000;38.10568;-8.499692;95;22;3;13
2018-10-04T11:08:55.000000;38.088463;-8.329668;95;56;3;7
2018-10-04T11:08:55.000000;38.071312;-8.162761;135;56;3;9
2018-10-04T11:08:55.000000;38.054237;-7.9990005;134;77;3;18
2018-10-04T11:08:55.000000;38.037354;-7.839245;171;92;3;18
2018-10-04T11:08:57.000000;38.016884;-8.520085;93;23;3;14
2018-10-04T11:08:57.000000;37.999683;-8.350373;99;51;3;6
2018-10-04T11:08:57.000000;37.982513;-8.183483;138;65;3;10
2018-10-04T11:08:57.000000;37.965477;-8.020214;136;76;3;15
2018-10-04T11:08:57.000000;37.948578;-7.860451;153;88;3;18
2018-10-04T11:08:58.000000;37.927803;-8.540157;93;29;3;9
2018-10-04T11:08:58.000000;37.91056;-8.370243;105;55;3;6
2018-10-04T11:08:58.000000;37.8934;-8.203575;167;75;3;11
2018-10-04T11:08:58.000000;37.876366;-8.040519;155;67;3;15
2018-10-04T11:08:58.000000;37.859512;-7.8813124;149;60;3;14
2018-10-04T11:09:00.000000;37.83888;-8.560675;79;45;3;9
2018-10-04T11:09:00.000000;37.821625;-8.390776;128;51;3;9
2018-10-04T11:09:00.000000;37.80441;-8.223736;150;50;3;20
2018-10-02T11:20:48.000000;39.54473;-7.9783874;133;39;3;21
2018-10-02T11:20:48.000000;39.528812;-7.85429;118;50;3;22
2018-10-02T11:20:50.000000;39.551903;-8.773973;49;57;3;29
2018-10-02T11:20:50.000000;39.488068;-8.255244;76;50;2;9
2018-10-02T11:20:50.000000;39.472145;-8.128918;72;62;3;8
2018-10-02T11:20:50.000000;39.456223;-8.003728;68;31;3;10
2018-10-02T11:20:50.000000;39.440247;-7.879256;76;44;3;27
2018-10-02T11:20:51.000000;39.479084;-8.931272;31;30;3;22
2018-10-02T11:20:51.000000;39.399174;-8.278967;56;39;3;15
2018-10-02T11:20:51.000000;39.383297;-8.153006;56;36;3;9
2018-10-02T11:20:51.000000;39.367336;-8.027554;72;38;3;23
2018-10-02T11:20:51.000000;39.35146;-7.9038663;74;40;3;21
2018-10-02T11:20:53.000000;39.40666;-9.09115;125;163;2;6
2018-10-02T11:20:53.000000;39.390446;-8.954954;84;93;3;24
2018-10-02T11:20:53.000000;39.3106;-8.30352;76;39;3;17
2018-10-02T11:20:53.000000;39.294693;-8.177395;60;34;3;19
2018-10-02T11:20:53.000000;39.27882;-8.052664;71;33;3;18
2018-10-02T11:20:53.000000;39.26294;-7.92896;60;40;3;21
2018-10-02T11:20:53.000000;39.247086;-7.8065534;70;62;3;-9999
2018-10-02T11:20:54.000000;39.31765;-9.113744;37;29;3;14
2018-10-02T11:20:54.000000;39.301567;-8.978629;33;27;3;14
2018-10-02T11:20:54.000000;39.237656;-8.454861;62;36;3;12
2018-10-02T11:20:54.000000;39.22175;-8.327596;63;35;3;13
2018-10-02T11:20:54.000000;39.205853;-8.201559;62;35;3;17
2018-10-02T11:20:54.000000;39.190014;-8.077127;72;37;3;12
2018-10-02T11:20:56.000000;39.229027;-9.137593;45;44;3;8
2018-10-02T11:20:56.000000;39.21289;-9.002135;32;25;3;18
2018-10-02T11:20:56.000000;39.19693;-8.869444;38;42;3;7
2018-10-02T11:20:56.000000;39.180958;-8.738005;38;47;3;4
2018-10-02T11:20:56.000000;39.16501;-8.607995;41;38;2;5
2018-10-02T11:20:56.000000;39.149067;-8.479338;52;30;3;10
2018-10-02T11:20:56.000000;39.133167;-8.352188;56;39;3;12
2018-10-02T11:20:56.000000;39.117287;-8.2263775;52;36;3;15
2018-10-02T11:20:56.000000;39.101456;-8.102029;81;38;3;11
2018-10-02T11:20:57.000000;39.140015;-9.160105;40;38;3;15
2018-10-02T11:20:57.000000;39.123978;-9.025492;44;34;3;11
2018-10-02T11:20:57.000000;39.107986;-8.8926;46;51;3;7
2018-10-02T11:20:57.000000;39.092056;-8.761545;34;36;3;0
2018-10-02T11:20:57.000000;39.076103;-8.631582;33;28;3;3
2018-10-02T11:20:57.000000;39.06018;-8.5031185;50;33;3;7
2018-10-02T11:20:57.000000;39.044292;-8.376073;51;26;3;11
2018-10-02T11:20:57.000000;39.02847;-8.250697;58;34;3;6
2018-10-02T11:20:57.000000;39.012596;-8.126131;57;39;3;13
2018-10-02T11:20:59.000000;39.051365;-9.183886;64;41;3;9
2018-10-02T11:20:59.000000;38.98746;-8.655714;25;17;2;5
2018-10-02T11:20:59.000000;38.971573;-8.527551;52;37;2;5
2018-10-02T11:20:59.000000;38.955708;-8.400772;58;35;3;6
2018-10-02T11:20:59.000000;38.93985;-8.275192;64;27;3;11
2018-10-02T11:20:59.000000;38.92402;-8.150953;58;43;3;13
2018-10-02T11:20:59.000000;38.90819;-8.0278425;93;64;3;-9999
2018-10-02T11:20:59.000000;38.892376;-7.90586;92;67;3;18
2018-10-02T11:21:00.000000;38.962296;-9.206141;52;44;3;22
2018-10-02T11:21:00.000000;38.89853;-8.67923;38;34;3;4
2018-10-02T11:21:00.000000;38.882645;-8.551149;43;35;3;6
2018-10-02T11:21:00.000000;38.86678;-8.42442;48;28;3;10
2018-10-02T11:21:00.000000;38.85097;-8.299237;43;23;3;8
2018-10-02T11:21:00.000000;38.835144;-8.175063;90;67;3;13
2018-10-02T11:21:00.000000;38.819324;-8.052027;92;73;3;20
2018-10-02T11:21:00.000000;38.803535;-7.930233;94;67;3;21
2018-10-02T11:21:00.000000;38.787735;-7.8094373;75;47;3;23
2018-10-02T11:21:02.000000;38.873596;-9.229422;40;42;3;23
2018-10-02T11:21:02.000000;38.80988;-8.703236;38;25;3;4
2018-10-02T11:21:02.000000;38.79401;-8.575351;45;30;3;6
2018-10-02T11:21:02.000000;38.778168;-8.448836;46;28;3;8
2018-10-02T11:21:02.000000;38.762344;-8.3236;86;56;3;11
2018-10-02T11:21:02.000000;38.74651;-8.199433;77;35;3;20
2018-10-02T11:21:02.000000;38.730698;-8.076528;86;44;3;26
2018-10-02T11:21:02.000000;38.714916;-7.9548597;129;46;3;28
2018-10-02T11:21:02.000000;38.699135;-7.8342667;108;48;3;28
2018-10-02T11:21:03.000000;38.720974;-8.726629;46;44;3;5
2018-10-02T11:21:03.000000;38.705105;-8.598784;53;43;3;10
2018-10-02T11:21:03.000000;38.689278;-8.472444;75;66;3;12
2018-10-02T11:21:03.000000;38.67348;-8.347469;85;47;3;13
2018-10-02T11:21:03.000000;38.657677;-8.223545;114;67;3;20
2018-10-02T11:21:03.000000;38.641884;-8.100812;93;34;3;26
2018-10-02T11:21:03.000000;38.626095;-7.9791317;115;54;3;34
2018-10-02T11:21:03.000000;38.61038;-7.8590074;144;82;3;24
2018-10-02T11:21:05.000000;38.632347;-8.7507515;32;28;3;3
2018-10-02T11:21:05.000000;38.6165;-8.623136;51;37;2;6
2018-10-02T11:21:05.000000;38.600693;-8.496999;89;44;3;7
2018-10-02T11:21:05.000000;38.584858;-8.3717985;66;34;3;18
2018-10-02T11:21:05.000000;38.56907;-8.2480755;85;46;3;23
2018-10-02T11:21:05.000000;38.55327;-8.125323;70;38;3;34
2018-10-02T11:21:05.000000;38.537575;-8.004388;95;51;3;23
2018-10-02T11:21:05.000000;38.521824;-7.8840647;182;75;3;23
2018-10-02T11:21:06.000000;38.511845;-8.52082;74;42;3;3
2018-10-02T11:21:06.000000;38.496037;-8.39588;85;60;3;11
2018-10-02T11:21:06.000000;38.480263;-8.272292;75;43;3;16
2018-10-02T11:21:06.000000;38.46452;-8.15;91;44;3;-9999
2018-10-02T11:21:06.000000;38.448776;-8.028784;70;43;3;-9999
2018-10-02T11:21:06.000000;38.433033;-7.9085264;104;66;3;23
2018-10-02T11:21:06.000000;38.4173;-7.789358;102;63;3;21
2018-10-02T11:21:07.000000;38.423134;-8.545094;71;55;3;1
2018-10-02T11:21:07.000000;38.40738;-8.420578;107;54;3;1
2018-10-02T11:21:07.000000;38.391617;-8.29709;120;72;3;7
2018-10-02T11:21:07.000000;38.375835;-8.17457;81;45;3;20
2018-10-02T11:21:07.000000;38.36013;-8.0536375;104;49;3;-9999
2018-10-02T11:21:07.000000;38.34439;-7.9334536;91;46;3;22
2018-10-02T11:21:07.000000;38.328667;-7.814378;72;57;3;-9999
2018-10-02T11:21:09.000000;38.318523;-8.444162;78;41;3;7
2018-10-02T11:21:09.000000;38.30282;-8.321152;102;49;3;4
2018-10-02T11:21:09.000000;38.287075;-8.198971;128;68;3;10
2018-10-02T11:21:09.000000;38.271355;-8.077962;106;49;3;14
2018-10-02T11:21:09.000000;38.255642;-7.9580183;71;60;3;16
2018-10-02T11:21:09.000000;38.239883;-7.8387184;121;80;3;30
2018-10-02T11:21:10.000000;38.24556;-8.592554;77;68;2;10
2018-10-02T11:21:10.000000;38.22984;-8.468425;76;51;3;8
2018-10-02T11:21:10.000000;38.21414;-8.345527;68;41;3;6
2018-10-02T11:21:10.000000;38.19845;-8.223719;66;42;3;6
2018-10-02T11:21:10.000000;38.182735;-8.102835;91;62;3;10
2018-10-02T11:21:10.000000;38.16703;-7.982972;118;61;3;-9999
2018-10-02T11:21:10.000000;38.15133;-7.8641286;131;86;3;15
2018-10-02T11:21:12.000000;38.156624;-8.615781;57;38;3;17
2018-10-02T11:21:12.000000;38.14097;-8.4921665;83;37;3;6
2018-10-02T11:21:12.000000;38.125282;-8.36939;75;46;3;4
2018-10-02T11:21:12.000000;38.10959;-8.247618;91;55;3;7
2018-10-02T11:21:12.000000;38.093903;-8.126935;154;94;3;10
2018-10-02T11:21:12.000000;38.078205;-8.007189;140;88;3;16
2018-10-02T11:21:12.000000;38.06252;-7.8884735;140;105;3;18
2018-10-02T11:21:13.000000;38.0679;-8.6396;53;27;3;24
2018-10-02T11:21:13.000000;38.052258;-8.516132;83;34;3;13
2018-10-02T11:21:13.000000;38.036606;-8.393675;109;54;3;7
2018-10-02T11:21:13.000000;38.020935;-8.272112;140;94;3;7
2018-10-02T11:21:13.000000;38.005257;-8.151522;160;74;3;12
2018-10-02T11:21:13.000000;37.98958;-8.031952;164;98;3;16
2018-10-02T11:21:13.000000;37.9739;-7.913346;166;116;3;18
2018-10-02T11:21:13.000000;37.958218;-7.795626;210;96;3;21
2018-10-02T11:21:15.000000;37.97905;-8.663344;53;35;3;16
2018-10-02T11:21:15.000000;37.963394;-8.539822;98;35;3;11
2018-10-02T11:21:15.000000;37.947754;-8.417485;101;52;3;6
2018-10-02T11:21:15.000000;37.9321;-8.296082;134;73;3;7
2018-10-02T11:21:15.000000;37.916443;-8.175716;220;95;3;10
2018-10-02T11:21:15.000000;37.900784;-8.056307;187;80;3;14
2018-10-02T11:21:15.000000;37.885128;-7.9378896;182;97;3;15
2018-10-02T11:21:15.000000;37.869476;-7.820429;148;51;3;13
2018-10-02T11:21:16.000000;37.890335;-8.687294;48;35;3;17
2018-10-02T11:21:16.000000;37.874695;-8.563946;114;59;3;10
2018-10-02T11:21:16.000000;37.859062;-8.441715;125;42;3;6
2018-10-02T11:21:16.000000;37.8434;-8.320324;200;62;3;11
2018-10-02T11:21:16.000000;37.82773;-8.199839;195;77;3;22
2018-10-02T11:21:16.000000;37.81211;-8.08078;202;73;3;19
2018-10-02T11:21:16.000000;37.796482;-7.9625635;232;70;3;18
2018-10-09T11:26:51.000000;39.55188;-8.02047;101;33;2;24
2018-10-09T11:26:51.000000;39.535545;-7.90486;109;38;3;20
2018-10-09T11:26:51.000000;39.519127;-7.789544;78;46;3;22
